date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:36:58	1450/1450	---MCZ	404	error ('Not%20Found')	text/html	etag:1676511100-ssl-df	https://backalley.netlify.app/robots.txt		(from )
14:36:58	6900/6900	---MCZ	200	added ('OK')	text/html	etag:%22bc0b5584c38bd9b2973b6d4589b0c659-ssl-df%22	https://backalley.netlify.app/	C:/Users/LENOVO/Desktop/New%20folder%20(3)/New%20folder%20(3)/33/backalley.netlify.app/index.html	(from )
14:36:59	3082/3082	---MCZ	404	error ('Not%20Found')	text/html	etag:1676511100-ssl-df	https://backalley.netlify.app/favicon.ico	C:/Users/LENOVO/Desktop/New%20folder%20(3)/New%20folder%20(3)/33/backalley.netlify.app/favicon.0.delayed	(from https://backalley.netlify.app/)
14:37:00	397765/397765	---MCZ	200	added ('OK')	text/css	etag:W/%22646b78f6-611c5%22	https://me-qr.com/assets/css/material-kit.min.css?v=1	C:/Users/LENOVO/Desktop/New%20folder%20(3)/New%20folder%20(3)/33/me-qr.com/assets/css/material-kit.min3860.css	(from https://backalley.netlify.app/)
14:37:00	144/144	---MCZ	200	added ('OK')	text/css	etag:W/%22646b78f6-700%22	https://me-qr.com/assets/css/base-style.css	C:/Users/LENOVO/Desktop/New%20folder%20(3)/New%20folder%20(3)/33/me-qr.com/assets/css/base-style.css	(from https://backalley.netlify.app/)
14:37:00	63956/63956	---M--	200	added ('OK')	image/png	etag:%227e2dc0bd8a2db693a625e79154619f31%22	https://i.imgur.com/70gfn3h.png	C:/Users/LENOVO/Desktop/New%20folder%20(3)/New%20folder%20(3)/33/i.imgur.com/70gfn3h.png	(from https://backalley.netlify.app/)
14:37:01	13922/13922	---M--	200	added ('OK')	image/png	etag:%2263cbb3b8-3662%22	https://cdn.me-qr.com/ListofLinks/48442.png	C:/Users/LENOVO/Desktop/New%20folder%20(3)/New%20folder%20(3)/33/cdn.me-qr.com/ListofLinks/48442.png	(from https://backalley.netlify.app/)
14:37:01	6355/6355	---M--	200	added ('OK')	image/png	etag:%2263cbb3b8-18d3%22	https://cdn.me-qr.com/ListofLinks/48444.png	C:/Users/LENOVO/Desktop/New%20folder%20(3)/New%20folder%20(3)/33/cdn.me-qr.com/ListofLinks/48444.png	(from https://backalley.netlify.app/)
14:37:02	3082/3082	---MCZ	404	error ('Not%20Found')	text/html	etag:1676511100-ssl-df	https://backalley.netlify.app/assets/js/lazy.js?v=2	C:/Users/LENOVO/Desktop/New%20folder%20(3)/New%20folder%20(3)/33/backalley.netlify.app/assets/js/lazy.65e1f.delayed	(from https://backalley.netlify.app/)
14:37:02	535/535	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2020%20Jul%202023%2013:37:01%20GMT	https://me-qr.com/img/arrow-left.png	C:/Users/LENOVO/Desktop/New%20folder%20(3)/New%20folder%20(3)/33/me-qr.com/img/arrow-left.png	(from https://me-qr.com/assets/css/material-kit.min.css?v=1)
14:37:02	535/535	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2020%20Jul%202023%2013:37:02%20GMT	https://me-qr.com/img/arrow-right.png	C:/Users/LENOVO/Desktop/New%20folder%20(3)/New%20folder%20(3)/33/me-qr.com/img/arrow-right.png	(from https://me-qr.com/assets/css/material-kit.min.css?v=1)
